callsign,affiliation,date,weekday,ideology,national_politics,local_politics,sinclair2017,post,month
KBZK,CBS,2017-11-28,Tue,0.08058745749687479,0.26666238807017545,0.11560600245614036,0,1,Nov
KCVU,FOX,2017-11-28,Tue,0.17176438303038633,0.1092950209090909,0.22416853909090909,1,1,Nov
KECI,NBC,2017-11-28,Tue,0.19355633831276892,0.1944405268292683,0.11086943097560975,1,1,Nov
KHSL,CBS,2017-11-28,Tue,0.1278309138911013,0.16545490366197182,0.2531685285915493,0,1,Nov
KNVN,NBC,2017-11-28,Tue,0.11851233426892012,0.1658331322105263,0.26222640536842107,0,1,Nov
KPAX,CBS,2017-11-28,Tue,0.032099968436093605,0.2540885687301587,0.18554379746031746,0,1,Nov
KRBC,NBC,2017-11-28,Tue,-0.11529477885476845,0.06543473559322033,0.16798443661016949,0,1,Nov
KRCR,ABC,2017-11-28,Tue,0.07792440431999152,0.17888458543209876,0.21083924999999998,1,1,Nov
KTAB,CBS,2017-11-28,Tue,0.13799004831557435,0.05472750475609757,0.13306831682926828,0,1,Nov
KTMF,ABC,2017-11-28,Tue,0.0694824653053741,0.18131739238095237,0.1618950919047619,0,1,Nov
KTVM,NBC,2017-11-28,Tue,0.15046640941678205,0.208953787654321,0.07639351555555556,1,1,Nov
KTXS,ABC,2017-11-28,Tue,0.16262827744335834,0.16960515485294117,0.07389363161764706,1,1,Nov
KWYB,ABC,2017-11-28,Tue,0.07198218501443224,0.16663843260869565,0.15797475652173915,0,1,Nov
KXVA,FOX,2017-11-28,Tue,NA,0.008814969,0.156455286,0,1,Nov
WCTI,ABC,2017-11-28,Tue,0.10944232841483935,0.16527041734042552,0.08783500276595746,1,1,Nov
WCYB,NBC,2017-11-28,Tue,0.026411053723467016,0.16969314882978725,0.1903612859574468,1,1,Nov
WEMT,FOX,2017-11-28,Tue,0.15086792622582013,0.18048959136363635,0.11402189681818183,1,1,Nov
WITN,NBC,2017-11-28,Tue,0.11024456079367737,0.1275841653164557,0.1494674046835443,0,1,Nov
WJHL,CBS,2017-11-28,Tue,0.0069952724883488426,0.10078256764705884,0.16116020911764706,0,1,Nov
WNCT,CBS,2017-11-28,Tue,0.16235735792368716,0.15506122813186812,0.14557680978021978,0,1,Nov
WYDO,FOX,2017-11-28,Tue,-0.06474225503885184,0.1586546389130435,0.12182078239130434,1,1,Nov
KAEF,ABC,2017-11-29,Wed,0.114186351485754,0.2636542252238806,0.1992332158208955,1,1,Nov
KBVU,FOX,2017-11-29,Wed,0.11926797434480947,0.17254966900000002,0.309070122,1,1,Nov
KBZK,CBS,2017-11-29,Wed,0.03397499599514111,0.22436664145454546,0.12956111218181818,0,1,Nov
KCVU,FOX,2017-11-29,Wed,0.11000052038073317,0.2281878681818182,0.17936155636363638,1,1,Nov
KECI,NBC,2017-11-29,Wed,0.09225400875748137,0.1921758908433735,0.1476645695180723,1,1,Nov
KHSL,CBS,2017-11-29,Wed,0.11555844778979851,0.22598154885714286,0.264647935,0,1,Nov
KNVN,NBC,2017-11-29,Wed,0.09224136827594455,0.22151019215053763,0.27410135193548385,0,1,Nov
KPAX,CBS,2017-11-29,Wed,0.09575105450712047,0.20308468532258062,0.20377159112903226,0,1,Nov
KRBC,NBC,2017-11-29,Wed,0.1526569694110357,0.10826547409836065,0.14243885606557377,0,1,Nov
KRCR,ABC,2017-11-29,Wed,0.1185393816575123,0.2578960424175824,0.1782213698901099,1,1,Nov
KTAB,CBS,2017-11-29,Wed,0.07891945304250055,0.10544049246913581,0.09139400024691358,0,1,Nov
KTMF,ABC,2017-11-29,Wed,NA,0.18510919416666666,0.18500167,0,1,Nov
